Open,High,Low,Close,Volume
151.532028,154.919327,150.73999,153.25058,5795100
153.723801,160.309128,152.179596,160.060059,7248000
159.90065,165.001541,156.91185,163.412491,9814500
165.868286,169.763687,162.585587,166.406265,12898500
163.546982,164.837143,158.779861,160.403763,9022600
158.545731,161.987823,158.077484,161.987823,7228300
163.138519,163.138519,156.114838,156.946732,8713400
157.564407,158.879486,154.535767,155.761169,6633300
155.302887,159.701401,154.615463,156.57312,8898100
154.421188,156.314102,148.319061,149.92305,10976700
148.229401,151.223175,142.859528,148.936752,11913400
151.940491,153.549454,147.297897,149.275482,10487900
149.011475,149.190796,140.847076,140.847076,10134100
143.636612,151.183334,143.636612,150.974106,9885800
148.463516,154.097412,147.023926,152.677719,16595900
154.057556,165.360184,151.541977,161.743744,21545900
161.818466,163.387589,159.681473,161.330292,9255900
162.615479,166.31163,161.529541,165.121078,9891400
168.358948,175.507156,167.527069,173.68399,15440300
171.626694,171.880753,169.419968,171.018982,14622100
171.701416,173.748749,167.37265,168.632919,9378900
166.520844,171.855835,165.380112,169.649109,10452800
170.645386,170.859573,166.291702,169.58934,13162100
169.40004,176.558212,168.951721,170.859573,13685800
169.818481,177.026459,167.870773,176.199554,14583200
177.564438,186.207047,177.056351,184.946777,14128800
184.946777,189.78862,182.964203,188.677795,9991800
187.287994,188.045166,178.276779,178.585617,14260600
178.804794,181.818497,175.840912,178.351501,10502300
175.920609,181.131073,175.08374,180.847137,11142200
180.418747,180.817245,176.951736,178.172165,8324300
172.608017,172.896942,169.210754,170.690216,11403300
172.971664,176.030197,169.624207,175.895706,12094100
178.067566,179.22821,170.067551,170.680252,10014700
168.393814,173.808517,166.874512,172.57814,12480700
172.852112,174.246887,164.159683,164.413742,10481200
164.891937,174.157211,164.827194,172.080002,12237400
170.436157,175.492218,168.827194,170.182114,12926300
172.334045,175.586853,167.950485,167.960449,11253200
165.853348,171.268051,164.936783,168.363937,10880500
166.042633,169.713867,162.391312,162.969147,11620300
164.418716,166.221954,160.573135,162.132294,13098400
160.976624,163.885712,157.101151,158.864532,15695300
157.649094,158.944244,150.754929,152.249329,13108600
153.036377,154.515839,146.575592,153.708862,14522500
149.429901,152.712601,144.184555,144.901871,12991000
148.56813,154.670258,146.575592,153.509613,13510700
154.471008,159.402527,152.284195,158.36142,11891500
158.177109,161.893188,156.23938,161.160934,10085800
